T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326445678,1522326445816,1522326445816,1522326445958
1522326445958,1522326446096,1522326446096,1522326446237
1522326446237,1522326446375,1522326446375,1522326446516
1522326446516,1522326446654,1522326446654,1522326446795
1522326446795,1522326446933,1522326446933,1522326447074
1522326447074,1522326447212,1522326447212,1522326447353
1522326447353,1522326447491,1522326447491,1522326447632
1522326447632,1522326447770,1522326447771,1522326447911
1522326447912,1522326448050,1522326448050,1522326448191
1522326448191,1522326448329,1522326448329,1522326448470
1522326448470,1522326448608,1522326448608,1522326448749
1522326448749,1522326448887,1522326448887,1522326449028
1522326449029,1522326449167,1522326449167,1522326449308
1522326449308,1522326449446,1522326449446,1522326449587
1522326449587,1522326449725,1522326449725,1522326449866
1522326449866,1522326450004,1522326450004,1522326450147
1522326450147,1522326450285,1522326450285,1522326450426
1522326450426,1522326450564,1522326450565,1522326450705
1522326450706,1522326450843,1522326450843,1522326450984
1522326450984,1522326451122,1522326451122,1522326451263
1522326451263,1522326451401,1522326451402,1522326451543
1522326451543,1522326451681,1522326451681,1522326451822
1522326451822,1522326451960,1522326451960,1522326452101
1522326452101,1522326452240,1522326452240,1522326452382
1522326452382,1522326452520,1522326452520,1522326452661
1522326452661,1522326452799,1522326452799,1522326452940
1522326452940,1522326453079,1522326453079,1522326453219
1522326453220,1522326453358,1522326453358,1522326453499
1522326453499,1522326453637,1522326453637,1522326453778
1522326453778,1522326453916,1522326453916,1522326454057
1522326454057,1522326454195,1522326454195,1522326454336
1522326454336,1522326454474,1522326454475,1522326454615
1522326454616,1522326454754,1522326454754,1522326454895
1522326454895,1522326455033,1522326455033,1522326455174
1522326455174,1522326455312,1522326455312,1522326455453
1522326455453,1522326455591,1522326455592,1522326455733
1522326455733,1522326455871,1522326455871,1522326456012
1522326456012,1522326456150,1522326456151,1522326456292
1522326456292,1522326456430,1522326456430,1522326456571
1522326456571,1522326456709,1522326456710,1522326456851
1522326456851,1522326456989,1522326456989,1522326457130
1522326457130,1522326457268,1522326457268,1522326457409
1522326457409,1522326457547,1522326457547,1522326457688
1522326457688,1522326457826,1522326457826,1522326457968
1522326457968,1522326458106,1522326458106,1522326458247
1522326458247,1522326458385,1522326458385,1522326458526
1522326458526,1522326458664,1522326458664,1522326458806
1522326458806,1522326458944,1522326458944,1522326459085
1522326459085,1522326459223,1522326459223,1522326459364
1522326459364,1522326459502,1522326459503,1522326459643
1522326459643,1522326459781,1522326459781,1522326459922
1522326459922,1522326460060,1522326460060,1522326460201
1522326460202,1522326460339,1522326460339,1522326460480
1522326460481,1522326460619,1522326460619,1522326460760
1522326460760,1522326460898,1522326460898,1522326461039
1522326461039,1522326461177,1522326461178,1522326461319
1522326461319,1522326461457,1522326461457,1522326461598
1522326461598,1522326461735,1522326461736,1522326461877
1522326461877,1522326462015,1522326462015,1522326462157
1522326462157,1522326462295,1522326462295,1522326462436
1522326462436,1522326462575,1522326462575,1522326462716
1522326462716,1522326462854,1522326462854,1522326462995
1522326462995,1522326463133,1522326463133,1522326463274
1522326463274,1522326463412,1522326463413,1522326463553
1522326463554,1522326463692,1522326463692,1522326463833
1522326463833,1522326463971,1522326463971,1522326464112
1522326464113,1522326464250,1522326464250,1522326464392
1522326464392,1522326464530,1522326464530,1522326464671
1522326464671,1522326464809,1522326464809,1522326464950
1522326464950,1522326465088,1522326465088,1522326465229
1522326465229,1522326465367,1522326465367,1522326465508
1522326465509,1522326465646,1522326465646,1522326465788
1522326465788,1522326465926,1522326465926,1522326466067
1522326466067,1522326466205,1522326466206,1522326466347
1522326466347,1522326466485,1522326466485,1522326466626
1522326466626,1522326466764,1522326466765,1522326466905
1522326466906,1522326467044,1522326467044,1522326467185
1522326467185,1522326467323,1522326467323,1522326467464
1522326467464,1522326467602,1522326467602,1522326467743
1522326467743,1522326467881,1522326467881,1522326468022
1522326468022,1522326468161,1522326468161,1522326468302
1522326468302,1522326468441,1522326468441,1522326468582
1522326468582,1522326468720,1522326468720,1522326468861
1522326468861,1522326468999,1522326468999,1522326469140
1522326469140,1522326469278,1522326469278,1522326469419
1522326469420,1522326469557,1522326469557,1522326469699
1522326469699,1522326469862,1522326469862,1522326470003
1522326470004,1522326470158,1522326470158,1522326470301
1522326470301,1522326470455,1522326470455,1522326470596
1522326470596,1522326470743,1522326470743,1522326470884
1522326470884,1522326471022,1522326471022,1522326471163
1522326471163,1522326471301,1522326471301,1522326471442
1522326471442,1522326471580,1522326471580,1522326471721
1522326471721,1522326471859,1522326471859,1522326472000
1522326472000,1522326472138,1522326472138,1522326472279
1522326472279,1522326472417,1522326472417,1522326472558
1522326472558,1522326472696,1522326472696,1522326472837
1522326472837,1522326472975,1522326472975,1522326473612
1522326473612,1522326473751,1522326473751,1522326473893
1522326473893,1522326474031,1522326474031,1522326474172
1522326474172,1522326474310,1522326474310,1522326474451
1522326474451,1522326474589,1522326474589,1522326474730
1522326474730,1522326474868,1522326474868,1522326475009
1522326475009,1522326475147,1522326475147,1522326475288
1522326475288,1522326475426,1522326475426,1522326475568
1522326475568,1522326475706,1522326475706,1522326475847
1522326475847,1522326475985,1522326475985,1522326476126
1522326476126,1522326476264,1522326476264,1522326476405
1522326476405,1522326476543,1522326476543,1522326476684
1522326476684,1522326476822,1522326476822,1522326476963
1522326476963,1522326477101,1522326477101,1522326477242
1522326477242,1522326477380,1522326477380,1522326477521
1522326477521,1522326477659,1522326477659,1522326477800
1522326477800,1522326477938,1522326477938,1522326478079
1522326478079,1522326478217,1522326478217,1522326478358
1522326478358,1522326478496,1522326478496,1522326478637
1522326478637,1522326478774,1522326478775,1522326478915
1522326478916,1522326479053,1522326479054,1522326479194
1522326479194,1522326479333,1522326479333,1522326479474
1522326479474,1522326479612,1522326479612,1522326479753
1522326479753,1522326479891,1522326479891,1522326480032
1522326480032,1522326480170,1522326480170,1522326480311
1522326480311,1522326480449,1522326480449,1522326480590
1522326480590,1522326480728,1522326480728,1522326480869
1522326480869,1522326481007,1522326481007,1522326481149
1522326481149,1522326481287,1522326481287,1522326481428
1522326481428,1522326481572,1522326481572,1522326481713
1522326481713,1522326481851,1522326481851,1522326481992
1522326481992,1522326482130,1522326482130,1522326482271
1522326482271,1522326482409,1522326482409,1522326482550
1522326482550,1522326482688,1522326482688,1522326482829
1522326482829,1522326482967,1522326482967,1522326483109
1522326483109,1522326483247,1522326483247,1522326483387
1522326483388,1522326483525,1522326483526,1522326483666
1522326483666,1522326483804,1522326483804,1522326483946
1522326483946,1522326484083,1522326484084,1522326484225
1522326484225,1522326484363,1522326484363,1522326484503
1522326484504,1522326484641,1522326484641,1522326484783
1522326484783,1522326484921,1522326484921,1522326485062
1522326485062,1522326485200,1522326485201,1522326485342
1522326485342,1522326485480,1522326485480,1522326485620
1522326485621,1522326485758,1522326485758,1522326485899
1522326485899,1522326486037,1522326486037,1522326486179
1522326486179,1522326486317,1522326486317,1522326486458
1522326486458,1522326486596,1522326486596,1522326486737
1522326486737,1522326486875,1522326486875,1522326487016
1522326487016,1522326487154,1522326487154,1522326487294
1522326487295,1522326487433,1522326487433,1522326487574
1522326487574,1522326487712,1522326487712,1522326487853
1522326487853,1522326487991,1522326487991,1522326488132
1522326488132,1522326488270,1522326488270,1522326488411
1522326488411,1522326488548,1522326488549,1522326488689
1522326488690,1522326488827,1522326488828,1522326488969
1522326488969,1522326489107,1522326489107,1522326489249
1522326489249,1522326489387,1522326489387,1522326489528
1522326489528,1522326489666,1522326489667,1522326489807
1522326489807,1522326489945,1522326489945,1522326490086
1522326490086,1522326490225,1522326490225,1522326490366
1522326490366,1522326490504,1522326490504,1522326490645
1522326490645,1522326490783,1522326490783,1522326490924
1522326490924,1522326491062,1522326491063,1522326491203
1522326491203,1522326491341,1522326491341,1522326491482
1522326491482,1522326491620,1522326491620,1522326491761
1522326491761,1522326491899,1522326491899,1522326492040
1522326492040,1522326492178,1522326492178,1522326492319
1522326492319,1522326492457,1522326492457,1522326492598
1522326492598,1522326492736,1522326492736,1522326492877
1522326492877,1522326493016,1522326493016,1522326493157
1522326493157,1522326493295,1522326493295,1522326493436
1522326493436,1522326493574,1522326493574,1522326493715
1522326493715,1522326493853,1522326493853,1522326493994
1522326493994,1522326494132,1522326494132,1522326494273
1522326494273,1522326494412,1522326494412,1522326494553
1522326494553,1522326494691,1522326494692,1522326494832
1522326494832,1522326494970,1522326494971,1522326495112
1522326495112,1522326495250,1522326495250,1522326495391
1522326495391,1522326495529,1522326495529,1522326495670
1522326495670,1522326495807,1522326495808,1522326495949
1522326495949,1522326496087,1522326496087,1522326496228
1522326496228,1522326496366,1522326496366,1522326496507
1522326496507,1522326496645,1522326496645,1522326496786
1522326496786,1522326496924,1522326496924,1522326497066
1522326497066,1522326497203,1522326497204,1522326497345
1522326497345,1522326497482,1522326497483,1522326497624
1522326497624,1522326497762,1522326497762,1522326497903
1522326497903,1522326498041,1522326498041,1522326498182
1522326498182,1522326498320,1522326498320,1522326498461
1522326498461,1522326498598,1522326498599,1522326498739
1522326498740,1522326498877,1522326498878,1522326499018
1522326499019,1522326499156,1522326499156,1522326499297
1522326499297,1522326499436,1522326499436,1522326499577
1522326499577,1522326499715,1522326499715,1522326499856
1522326499856,1522326499994,1522326499994,1522326500135
1522326500135,1522326500273,1522326500273,1522326500414
1522326500415,1522326500553,1522326500553,1522326500694
1522326500694,1522326500832,1522326500832,1522326500973
1522326500973,1522326501111,1522326501111,1522326501252
1522326501252,1522326501389,1522326501389,1522326501531
1522326501531,1522326501669,1522326501669,1522326501810
1522326501810,1522326501948,1522326501948,1522326502089
1522326502089,1522326502227,1522326502228,1522326502368
1522326502368,1522326502506,1522326502506,1522326502647
1522326502647,1522326502785,1522326502786,1522326502926
1522326502926,1522326503065,1522326503065,1522326503207
1522326503207,1522326503345,1522326503345,1522326503486
1522326503486,1522326503623,1522326503624,1522326503765
1522326503765,1522326503903,1522326503903,1522326504044
1522326504044,1522326504182,1522326504182,1522326504323
1522326504324,1522326504461,1522326504462,1522326504603
1522326504603,1522326504741,1522326504741,1522326504882
1522326504882,1522326505020,1522326505020,1522326505161
1522326505161,1522326505299,1522326505299,1522326505440
1522326505440,1522326505578,1522326505578,1522326505719
1522326505719,1522326505857,1522326505857,1522326505998
1522326505998,1522326506137,1522326506137,1522326506278
1522326506278,1522326506416,1522326506416,1522326506557
1522326506557,1522326506695,1522326506695,1522326506836
1522326506836,1522326506974,1522326506974,1522326507116
1522326507116,1522326507254,1522326507254,1522326507394
1522326507395,1522326507533,1522326507533,1522326507675
1522326507675,1522326507813,1522326507813,1522326507954
1522326507954,1522326508092,1522326508092,1522326508233
1522326508233,1522326508371,1522326508371,1522326508512
1522326508512,1522326508650,1522326508650,1522326508792
1522326508792,1522326508930,1522326508930,1522326509071
1522326509071,1522326509209,1522326509209,1522326509350
1522326509350,1522326509488,1522326509488,1522326509629
1522326509629,1522326509767,1522326509767,1522326509908
1522326509908,1522326510045,1522326510046,1522326510186
1522326510187,1522326510324,1522326510325,1522326510465
1522326510465,1522326510603,1522326510604,1522326510744
1522326510744,1522326510882,1522326510883,1522326511023
1522326511023,1522326511162,1522326511162,1522326511303
1522326511303,1522326511441,1522326511441,1522326511582
