T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326132662,1522326132809,1522326132809,1522326132969
1522326132970,1522326133109,1522326133109,1522326133199
1522326133199,1522326133347,1522326133347,1522326133482
1522326133482,1522326133625,1522326133625,1522326133789
1522326133789,1522326133931,1522326133931,1522326134096
1522326134096,1522326134244,1522326134244,1522326134403
1522326134403,1522326134546,1522326134546,1522326134710
1522326134710,1522326134854,1522326134854,1522326135017
1522326135017,1522326135160,1522326135160,1522326135325
1522326135325,1522326135468,1522326135468,1522326135734
1522326135734,1522326135879,1522326135879,1522326136042
1522326136042,1522326136183,1522326136183,1522326136349
1522326136349,1522326136491,1522326136491,1522326136656
1522326136656,1522326136799,1522326136799,1522326136963
1522326136963,1522326137105,1522326137105,1522326137270
1522326137270,1522326137413,1522326137413,1522326137578
1522326137578,1522326137724,1522326137724,1522326137889
1522326137889,1522326138032,1522326138032,1522326138192
1522326138192,1522326138335,1522326138335,1522326138427
1522326138427,1522326138575,1522326138575,1522326138662
1522326138662,1522326138804,1522326138804,1522326138892
1522326138892,1522326139033,1522326139034,1522326139218
1522326139218,1522326139363,1522326139363,1522326139523
1522326139523,1522326139666,1522326139666,1522326139833
1522326139833,1522326139976,1522326139976,1522326140137
1522326140137,1522326140280,1522326140280,1522326140445
1522326140445,1522326140588,1522326140588,1522326140752
1522326140752,1522326140895,1522326140895,1522326140982
1522326140982,1522326141126,1522326141126,1522326141264
1522326141264,1522326141409,1522326141409,1522326141571
1522326141571,1522326141716,1522326141716,1522326141878
1522326141878,1522326142022,1522326142022,1522326142186
1522326142186,1522326142328,1522326142328,1522326142493
1522326142493,1522326142637,1522326142637,1522326142804
1522326142804,1522326142951,1522326142951,1522326143107
1522326143107,1522326143250,1522326143250,1522326143414
1522326143414,1522326143558,1522326143558,1522326143645
1522326143645,1522326143791,1522326143791,1522326143878
1522326143878,1522326144022,1522326144022,1522326144131
1522326144131,1522326144276,1522326144276,1522326144439
1522326144439,1522326144582,1522326144582,1522326144746
1522326144747,1522326144890,1522326144890,1522326145053
1522326145053,1522326145197,1522326145197,1522326145360
1522326145360,1522326145505,1522326145505,1522326145667
1522326145667,1522326145811,1522326145811,1522326145974
1522326145974,1522326146118,1522326146118,1522326146281
